@relation poi-3.0-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6

@attribute wmc {'\'(-inf-13.4]\'','\'(13.4-26.8]\'','\'(26.8-40.2]\'','\'(40.2-53.6]\'','\'(53.6-67]\'','\'(67-80.4]\'','\'(80.4-93.8]\'','\'(93.8-107.2]\'','\'(107.2-120.6]\'','\'(120.6-inf)\''}
@attribute dit {'\'(-inf-1.5]\'','\'(1.5-2]\'','\'(2-2.5]\'','\'(2.5-3]\'','\'(3-3.5]\'','\'(3.5-4]\'','\'(4-4.5]\'','\'(4.5-5]\'','\'(5-5.5]\'','\'(5.5-inf)\''}
@attribute noc {'\'(-inf-13.4]\'','\'(13.4-26.8]\'','\'(26.8-40.2]\'','\'(40.2-53.6]\'','\'(53.6-67]\'','\'(67-80.4]\'','\'(80.4-93.8]\'','\'(93.8-107.2]\'','\'(107.2-120.6]\'','\'(120.6-inf)\''}
@attribute cbo {'\'(-inf-21.4]\'','\'(21.4-42.8]\'','\'(42.8-64.2]\'','\'(64.2-85.6]\'','\'(85.6-107]\'','\'(107-128.4]\'','\'(128.4-149.8]\'','\'(149.8-171.2]\'','\'(171.2-192.6]\'','\'(192.6-inf)\''}
@attribute rfc {'\'(-inf-39]\'','\'(39-78]\'','\'(78-117]\'','\'(117-156]\'','\'(156-195]\'','\'(195-234]\'','\'(234-273]\'','\'(273-312]\'','\'(312-351]\'','\'(351-inf)\''}
@attribute lcom {'\'(-inf-705.9]\'','\'(705.9-1411.8]\'','\'(1411.8-2117.7]\'','\'(2117.7-2823.6]\'','\'(2823.6-3529.5]\'','\'(3529.5-4235.4]\'','\'(4235.4-4941.3]\'','\'(4941.3-5647.2]\'','\'(5647.2-6353.1]\'','\'(6353.1-inf)\''}
@attribute ca {'\'(-inf-21.2]\'','\'(21.2-42.4]\'','\'(42.4-63.6]\'','\'(63.6-84.8]\'','\'(84.8-106]\'','\'(106-127.2]\'','\'(127.2-148.4]\'','\'(148.4-169.6]\'','\'(169.6-190.8]\'','\'(190.8-inf)\''}
@attribute ce {'\'(-inf-13.3]\'','\'(13.3-26.6]\'','\'(26.6-39.9]\'','\'(39.9-53.2]\'','\'(53.2-66.5]\'','\'(66.5-79.8]\'','\'(79.8-93.1]\'','\'(93.1-106.4]\'','\'(106.4-119.7]\'','\'(119.7-inf)\''}
@attribute npm {'\'(-inf-10.1]\'','\'(10.1-20.2]\'','\'(20.2-30.3]\'','\'(30.3-40.4]\'','\'(40.4-50.5]\'','\'(50.5-60.6]\'','\'(60.6-70.7]\'','\'(70.7-80.8]\'','\'(80.8-90.9]\'','\'(90.9-inf)\''}
@attribute lcom3 {'\'(-inf-0.2]\'','\'(0.2-0.4]\'','\'(0.4-0.6]\'','\'(0.6-0.8]\'','\'(0.8-1]\'','\'(1-1.2]\'','\'(1.2-1.4]\'','\'(1.4-1.6]\'','\'(1.6-1.8]\'','\'(1.8-inf)\''}
@attribute loc {'\'(-inf-988.6]\'','\'(988.6-1977.2]\'','\'(1977.2-2965.8]\'','\'(2965.8-3954.4]\'','\'(3954.4-4943]\'','\'(4943-5931.6]\'','\'(5931.6-6920.2]\'','\'(6920.2-7908.8]\'','\'(7908.8-8897.4]\'','\'(8897.4-inf)\''}
@attribute dam {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute moa {'\'(-inf-3.4]\'','\'(3.4-6.8]\'','\'(6.8-10.2]\'','\'(10.2-13.6]\'','\'(13.6-17]\'','\'(17-20.4]\'','\'(20.4-23.8]\'','\'(23.8-27.2]\'','\'(27.2-30.6]\'','\'(30.6-inf)\''}
@attribute mfa {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute cam {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute ic {'\'(-inf-0.3]\'','\'(0.3-0.6]\'','\'(0.6-0.9]\'','\'(0.9-1.2]\'','\'(1.2-1.5]\'','\'(1.5-1.8]\'','\'(1.8-2.1]\'','\'(2.1-2.4]\'','\'(2.4-2.7]\'','\'(2.7-inf)\''}
@attribute cbm {'\'(-inf-2]\'','\'(2-4]\'','\'(4-6]\'','\'(6-8]\'','\'(8-10]\'','\'(10-12]\'','\'(12-14]\'','\'(14-16]\'','\'(16-18]\'','\'(18-inf)\''}
@attribute amc {'\'(-inf-61.6375]\'','\'(61.6375-123.275]\'','\'(123.275-184.9125]\'','\'(184.9125-246.55]\'','\'(246.55-308.1875]\'','\'(308.1875-369.825]\'','\'(369.825-431.4625]\'','\'(431.4625-493.1]\'','\'(493.1-554.7375]\'','\'(554.7375-inf)\''}
@attribute max_cc {'\'(-inf-12.6]\'','\'(12.6-25.2]\'','\'(25.2-37.8]\'','\'(37.8-50.4]\'','\'(50.4-63]\'','\'(63-75.6]\'','\'(75.6-88.2]\'','\'(88.2-100.8]\'','\'(100.8-113.4]\'','\'(113.4-inf)\''}
@attribute avg_cc {'\'(-inf-1.7125]\'','\'(1.7125-3.425]\'','\'(3.425-5.1375]\'','\'(5.1375-6.85]\'','\'(6.85-8.5625]\'','\'(8.5625-10.275]\'','\'(10.275-11.9875]\'','\'(11.9875-13.7]\'','\'(13.7-15.4125]\'','\'(15.4125-inf)\''}
@attribute bug {N,Y}

@data
'\'(-inf-13.4]\'','\'(2.5-3]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(1-1.2]\'','\'(-inf-988.6]\'','\'(-inf-0.1]\'','\'(-inf-3.4]\'','\'(0.6-0.7]\'','\'(0.3-0.4]\'','\'(0.9-1.2]\'','\'(2-4]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',Y
'\'(13.4-26.8]\'','\'(1.5-2]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(10.1-20.2]\'','\'(0.8-1]\'','\'(8897.4-inf)\'','\'(0.7-0.8]\'','\'(-inf-3.4]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(-inf-0.3]\'','\'(-inf-2]\'','\'(554.7375-inf)\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',Y
'\'(-inf-13.4]\'','\'(1.5-2]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(0.8-1]\'','\'(-inf-988.6]\'','\'(0.4-0.5]\'','\'(-inf-3.4]\'','\'(0.6-0.7]\'','\'(0.3-0.4]\'','\'(0.9-1.2]\'','\'(4-6]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',Y
'\'(-inf-13.4]\'','\'(-inf-1.5]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(0.2-0.4]\'','\'(-inf-988.6]\'','\'(-inf-0.1]\'','\'(-inf-3.4]\'','\'(-inf-0.1]\'','\'(0.3-0.4]\'','\'(-inf-0.3]\'','\'(-inf-2]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(1.7125-3.425]\'',N
'\'(-inf-13.4]\'','\'(1.5-2]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(10.1-20.2]\'','\'(1-1.2]\'','\'(-inf-988.6]\'','\'(-inf-0.1]\'','\'(-inf-3.4]\'','\'(0.2-0.3]\'','\'(0.2-0.3]\'','\'(-inf-0.3]\'','\'(-inf-2]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',N
'\'(-inf-13.4]\'','\'(-inf-1.5]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(0.6-0.8]\'','\'(-inf-988.6]\'','\'(0.9-inf)\'','\'(-inf-3.4]\'','\'(-inf-0.1]\'','\'(0.3-0.4]\'','\'(-inf-0.3]\'','\'(-inf-2]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(1.7125-3.425]\'',Y
'\'(13.4-26.8]\'','\'(1.5-2]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(10.1-20.2]\'','\'(0.8-1]\'','\'(-inf-988.6]\'','\'(0.7-0.8]\'','\'(-inf-3.4]\'','\'(0.4-0.5]\'','\'(0.3-0.4]\'','\'(0.9-1.2]\'','\'(2-4]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',Y
'\'(-inf-13.4]\'','\'(4.5-5]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(1.8-inf)\'','\'(-inf-988.6]\'','\'(-inf-0.1]\'','\'(-inf-3.4]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(-inf-0.3]\'','\'(-inf-2]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',N
'\'(-inf-13.4]\'','\'(1.5-2]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(39-78]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(10.1-20.2]\'','\'(0.6-0.8]\'','\'(-inf-988.6]\'','\'(0.3-0.4]\'','\'(-inf-3.4]\'','\'(0.6-0.7]\'','\'(0.2-0.3]\'','\'(0.9-1.2]\'','\'(4-6]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',Y
'\'(-inf-13.4]\'','\'(1.5-2]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(0.8-1]\'','\'(-inf-988.6]\'','\'(0.1-0.2]\'','\'(-inf-3.4]\'','\'(0.5-0.6]\'','\'(0.3-0.4]\'','\'(0.9-1.2]\'','\'(2-4]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',Y
'\'(13.4-26.8]\'','\'(1.5-2]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(39-78]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(10.1-20.2]\'','\'(0.6-0.8]\'','\'(-inf-988.6]\'','\'(0.4-0.5]\'','\'(-inf-3.4]\'','\'(0.4-0.5]\'','\'(0.3-0.4]\'','\'(0.9-1.2]\'','\'(2-4]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',Y
'\'(-inf-13.4]\'','\'(-inf-1.5]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(1.8-inf)\'','\'(-inf-988.6]\'','\'(-inf-0.1]\'','\'(-inf-3.4]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.3]\'','\'(-inf-2]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',N
'\'(-inf-13.4]\'','\'(1.5-2]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(0.6-0.8]\'','\'(-inf-988.6]\'','\'(0.9-inf)\'','\'(-inf-3.4]\'','\'(0.2-0.3]\'','\'(0.2-0.3]\'','\'(0.9-1.2]\'','\'(-inf-2]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',N
'\'(-inf-13.4]\'','\'(-inf-1.5]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(1.8-inf)\'','\'(-inf-988.6]\'','\'(-inf-0.1]\'','\'(-inf-3.4]\'','\'(-inf-0.1]\'','\'(0.6-0.7]\'','\'(-inf-0.3]\'','\'(-inf-2]\'','\'(61.6375-123.275]\'','\'(-inf-12.6]\'','\'(5.1375-6.85]\'',Y
'\'(-inf-13.4]\'','\'(1.5-2]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(0.8-1]\'','\'(-inf-988.6]\'','\'(0.6-0.7]\'','\'(-inf-3.4]\'','\'(0.4-0.5]\'','\'(0.2-0.3]\'','\'(0.9-1.2]\'','\'(-inf-2]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',Y
'\'(-inf-13.4]\'','\'(1.5-2]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(1-1.2]\'','\'(-inf-988.6]\'','\'(-inf-0.1]\'','\'(-inf-3.4]\'','\'(0.2-0.3]\'','\'(0.2-0.3]\'','\'(-inf-0.3]\'','\'(-inf-2]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',N
'\'(-inf-13.4]\'','\'(-inf-1.5]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(0.2-0.4]\'','\'(-inf-988.6]\'','\'(0.9-inf)\'','\'(-inf-3.4]\'','\'(-inf-0.1]\'','\'(0.4-0.5]\'','\'(-inf-0.3]\'','\'(-inf-2]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',N
'\'(-inf-13.4]\'','\'(1.5-2]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(0.6-0.8]\'','\'(-inf-988.6]\'','\'(0.4-0.5]\'','\'(-inf-3.4]\'','\'(0.5-0.6]\'','\'(0.2-0.3]\'','\'(0.9-1.2]\'','\'(2-4]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',N
'\'(13.4-26.8]\'','\'(1.5-2]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(39-78]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(10.1-20.2]\'','\'(0.8-1]\'','\'(-inf-988.6]\'','\'(0.3-0.4]\'','\'(-inf-3.4]\'','\'(0.3-0.4]\'','\'(0.2-0.3]\'','\'(1.8-2.1]\'','\'(4-6]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',Y
'\'(-inf-13.4]\'','\'(1.5-2]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(0.4-0.6]\'','\'(-inf-988.6]\'','\'(0.9-inf)\'','\'(-inf-3.4]\'','\'(0.8-0.9]\'','\'(0.3-0.4]\'','\'(-inf-0.3]\'','\'(-inf-2]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',N
'\'(26.8-40.2]\'','\'(-inf-1.5]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(39-78]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(30.3-40.4]\'','\'(0.8-1]\'','\'(-inf-988.6]\'','\'(-inf-0.1]\'','\'(-inf-3.4]\'','\'(-inf-0.1]\'','\'(0.3-0.4]\'','\'(-inf-0.3]\'','\'(-inf-2]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',N
'\'(-inf-13.4]\'','\'(1.5-2]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(0.6-0.8]\'','\'(-inf-988.6]\'','\'(0.9-inf)\'','\'(-inf-3.4]\'','\'(0.8-0.9]\'','\'(0.4-0.5]\'','\'(0.9-1.2]\'','\'(-inf-2]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',Y
'\'(-inf-13.4]\'','\'(1.5-2]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(0.4-0.6]\'','\'(-inf-988.6]\'','\'(0.9-inf)\'','\'(-inf-3.4]\'','\'(0.4-0.5]\'','\'(0.4-0.5]\'','\'(0.9-1.2]\'','\'(-inf-2]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',Y
'\'(-inf-13.4]\'','\'(1.5-2]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(0.8-1]\'','\'(-inf-988.6]\'','\'(0.9-inf)\'','\'(-inf-3.4]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.9-1.2]\'','\'(-inf-2]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',Y
'\'(26.8-40.2]\'','\'(1.5-2]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(39-78]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(30.3-40.4]\'','\'(0.8-1]\'','\'(-inf-988.6]\'','\'(0.5-0.6]\'','\'(-inf-3.4]\'','\'(0.3-0.4]\'','\'(0.2-0.3]\'','\'(0.9-1.2]\'','\'(4-6]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',Y
'\'(26.8-40.2]\'','\'(2.5-3]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(39-78]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(30.3-40.4]\'','\'(0.8-1]\'','\'(-inf-988.6]\'','\'(0.9-inf)\'','\'(-inf-3.4]\'','\'(0.6-0.7]\'','\'(0.2-0.3]\'','\'(0.9-1.2]\'','\'(4-6]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',Y
'\'(-inf-13.4]\'','\'(-inf-1.5]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(1.8-inf)\'','\'(-inf-988.6]\'','\'(-inf-0.1]\'','\'(-inf-3.4]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-2]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',N
'\'(-inf-13.4]\'','\'(1.5-2]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(0.6-0.8]\'','\'(-inf-988.6]\'','\'(0.6-0.7]\'','\'(-inf-3.4]\'','\'(0.5-0.6]\'','\'(0.2-0.3]\'','\'(0.9-1.2]\'','\'(2-4]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',Y
'\'(13.4-26.8]\'','\'(1.5-2]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(10.1-20.2]\'','\'(0.6-0.8]\'','\'(-inf-988.6]\'','\'(0.7-0.8]\'','\'(-inf-3.4]\'','\'(0.4-0.5]\'','\'(0.2-0.3]\'','\'(0.9-1.2]\'','\'(2-4]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',Y
'\'(13.4-26.8]\'','\'(1.5-2]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(10.1-20.2]\'','\'(0.6-0.8]\'','\'(-inf-988.6]\'','\'(0.7-0.8]\'','\'(-inf-3.4]\'','\'(0.4-0.5]\'','\'(0.2-0.3]\'','\'(0.9-1.2]\'','\'(2-4]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',Y
'\'(-inf-13.4]\'','\'(2.5-3]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(1-1.2]\'','\'(-inf-988.6]\'','\'(-inf-0.1]\'','\'(-inf-3.4]\'','\'(0.8-0.9]\'','\'(0.3-0.4]\'','\'(-inf-0.3]\'','\'(-inf-2]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',N
'\'(-inf-13.4]\'','\'(1.5-2]\'','\'(13.4-26.8]\'','\'(21.4-42.8]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(21.2-42.4]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(1.2-1.4]\'','\'(-inf-988.6]\'','\'(-inf-0.1]\'','\'(-inf-3.4]\'','\'(0.6-0.7]\'','\'(0.5-0.6]\'','\'(-inf-0.3]\'','\'(-inf-2]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',N
'\'(-inf-13.4]\'','\'(-inf-1.5]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(1.8-inf)\'','\'(-inf-988.6]\'','\'(-inf-0.1]\'','\'(-inf-3.4]\'','\'(-inf-0.1]\'','\'(0.5-0.6]\'','\'(-inf-0.3]\'','\'(-inf-2]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',Y
'\'(-inf-13.4]\'','\'(1.5-2]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(1-1.2]\'','\'(-inf-988.6]\'','\'(-inf-0.1]\'','\'(-inf-3.4]\'','\'(0.6-0.7]\'','\'(0.3-0.4]\'','\'(0.9-1.2]\'','\'(2-4]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',Y
'\'(26.8-40.2]\'','\'(-inf-1.5]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(20.2-30.3]\'','\'(0.8-1]\'','\'(-inf-988.6]\'','\'(0.9-inf)\'','\'(-inf-3.4]\'','\'(-inf-0.1]\'','\'(0.3-0.4]\'','\'(-inf-0.3]\'','\'(-inf-2]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(1.7125-3.425]\'',Y
'\'(13.4-26.8]\'','\'(1.5-2]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(10.1-20.2]\'','\'(0.8-1]\'','\'(-inf-988.6]\'','\'(0.3-0.4]\'','\'(-inf-3.4]\'','\'(0.3-0.4]\'','\'(0.3-0.4]\'','\'(0.9-1.2]\'','\'(2-4]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',Y
'\'(40.2-53.6]\'','\'(1.5-2]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(39-78]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(40.4-50.5]\'','\'(0.8-1]\'','\'(-inf-988.6]\'','\'(0.9-inf)\'','\'(6.8-10.2]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.9-1.2]\'','\'(2-4]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',Y
'\'(-inf-13.4]\'','\'(2.5-3]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(1.2-1.4]\'','\'(-inf-988.6]\'','\'(-inf-0.1]\'','\'(-inf-3.4]\'','\'(0.8-0.9]\'','\'(0.4-0.5]\'','\'(-inf-0.3]\'','\'(-inf-2]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',Y
'\'(-inf-13.4]\'','\'(1.5-2]\'','\'(-inf-13.4]\'','\'(-inf-21.4]\'','\'(-inf-39]\'','\'(-inf-705.9]\'','\'(-inf-21.2]\'','\'(-inf-13.3]\'','\'(-inf-10.1]\'','\'(0.6-0.8]\'','\'(-inf-988.6]\'','\'(0.4-0.5]\'','\'(-inf-3.4]\'','\'(0.5-0.6]\'','\'(0.3-0.4]\'','\'(0.9-1.2]\'','\'(2-4]\'','\'(-inf-61.6375]\'','\'(-inf-12.6]\'','\'(-inf-1.7125]\'',Y
