@relation ant-1.6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6

@attribute wmc {'\'(-inf-10]\'','\'(10-20]\'','\'(20-30]\'','\'(30-40]\'','\'(40-50]\'','\'(50-60]\'','\'(60-70]\'','\'(70-80]\'','\'(80-90]\'','\'(90-inf)\''}
@attribute dit {'\'(-inf-1.6]\'','\'(1.6-2.2]\'','\'(2.2-2.8]\'','\'(2.8-3.4]\'','\'(3.4-4]\'','\'(4-4.6]\'','\'(4.6-5.2]\'','\'(5.2-5.8]\'','\'(5.8-6.4]\'','\'(6.4-inf)\''}
@attribute noc {'\'(-inf-5.9]\'','\'(5.9-11.8]\'','\'(11.8-17.7]\'','\'(17.7-23.6]\'','\'(23.6-29.5]\'','\'(29.5-35.4]\'','\'(35.4-41.3]\'','\'(41.3-47.2]\'','\'(47.2-53.1]\'','\'(53.1-inf)\''}
@attribute cbo {'\'(-inf-24.3]\'','\'(24.3-48.6]\'','\'(48.6-72.9]\'','\'(72.9-97.2]\'','\'(97.2-121.5]\'','\'(121.5-145.8]\'','\'(145.8-170.1]\'','\'(170.1-194.4]\'','\'(194.4-218.7]\'','\'(218.7-inf)\''}
@attribute rfc {'\'(-inf-24.7]\'','\'(24.7-49.4]\'','\'(49.4-74.1]\'','\'(74.1-98.8]\'','\'(98.8-123.5]\'','\'(123.5-148.2]\'','\'(148.2-172.9]\'','\'(172.9-197.6]\'','\'(197.6-222.3]\'','\'(222.3-inf)\''}
@attribute lcom {'\'(-inf-457.6]\'','\'(457.6-915.2]\'','\'(915.2-1372.8]\'','\'(1372.8-1830.4]\'','\'(1830.4-2288]\'','\'(2288-2745.6]\'','\'(2745.6-3203.2]\'','\'(3203.2-3660.8]\'','\'(3660.8-4118.4]\'','\'(4118.4-inf)\''}
@attribute ca {'\'(-inf-24.2]\'','\'(24.2-48.4]\'','\'(48.4-72.6]\'','\'(72.6-96.8]\'','\'(96.8-121]\'','\'(121-145.2]\'','\'(145.2-169.4]\'','\'(169.4-193.6]\'','\'(193.6-217.8]\'','\'(217.8-inf)\''}
@attribute ce {'\'(-inf-3.5]\'','\'(3.5-7]\'','\'(7-10.5]\'','\'(10.5-14]\'','\'(14-17.5]\'','\'(17.5-21]\'','\'(21-24.5]\'','\'(24.5-28]\'','\'(28-31.5]\'','\'(31.5-inf)\''}
@attribute npm {'\'(-inf-8.7]\'','\'(8.7-17.4]\'','\'(17.4-26.1]\'','\'(26.1-34.8]\'','\'(34.8-43.5]\'','\'(43.5-52.2]\'','\'(52.2-60.9]\'','\'(60.9-69.6]\'','\'(69.6-78.3]\'','\'(78.3-inf)\''}
@attribute lcom3 {'\'(-inf-0.2]\'','\'(0.2-0.4]\'','\'(0.4-0.6]\'','\'(0.6-0.8]\'','\'(0.8-1]\'','\'(1-1.2]\'','\'(1.2-1.4]\'','\'(1.4-1.6]\'','\'(1.6-1.8]\'','\'(1.8-inf)\''}
@attribute loc {'\'(-inf-423.8]\'','\'(423.8-847.6]\'','\'(847.6-1271.4]\'','\'(1271.4-1695.2]\'','\'(1695.2-2119]\'','\'(2119-2542.8]\'','\'(2542.8-2966.6]\'','\'(2966.6-3390.4]\'','\'(3390.4-3814.2]\'','\'(3814.2-inf)\''}
@attribute dam {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute moa {'\'(-inf-1]\'','\'(1-2]\'','\'(2-3]\'','\'(3-4]\'','\'(4-5]\'','\'(5-6]\'','\'(6-7]\'','\'(7-8]\'','\'(8-9]\'','\'(9-inf)\''}
@attribute mfa {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute cam {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute ic {'\'(-inf-0.4]\'','\'(0.4-0.8]\'','\'(0.8-1.2]\'','\'(1.2-1.6]\'','\'(1.6-2]\'','\'(2-2.4]\'','\'(2.4-2.8]\'','\'(2.8-3.2]\'','\'(3.2-3.6]\'','\'(3.6-inf)\''}
@attribute cbm {'\'(-inf-1.5]\'','\'(1.5-3]\'','\'(3-4.5]\'','\'(4.5-6]\'','\'(6-7.5]\'','\'(7.5-9]\'','\'(9-10.5]\'','\'(10.5-12]\'','\'(12-13.5]\'','\'(13.5-inf)\''}
@attribute amc {'\'(-inf-205.2]\'','\'(205.2-410.4]\'','\'(410.4-615.6]\'','\'(615.6-820.8]\'','\'(820.8-1026]\'','\'(1026-1231.2]\'','\'(1231.2-1436.4]\'','\'(1436.4-1641.6]\'','\'(1641.6-1846.8]\'','\'(1846.8-inf)\''}
@attribute max_cc {'\'(-inf-5]\'','\'(5-10]\'','\'(10-15]\'','\'(15-20]\'','\'(20-25]\'','\'(25-30]\'','\'(30-35]\'','\'(35-40]\'','\'(40-45]\'','\'(45-inf)\''}
@attribute avg_cc {'\'(-inf-0.68824]\'','\'(0.68824-1.37648]\'','\'(1.37648-2.06472]\'','\'(2.06472-2.75296]\'','\'(2.75296-3.4412]\'','\'(3.4412-4.12944]\'','\'(4.12944-4.81768]\'','\'(4.81768-5.50592]\'','\'(5.50592-6.19416]\'','\'(6.19416-inf)\''}
@attribute bug {N,Y}

@data
'\'(-inf-10]\'','\'(1.6-2.2]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(49.4-74.1]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(7-10.5]\'','\'(-inf-8.7]\'','\'(0.4-0.6]\'','\'(423.8-847.6]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.7-0.8]\'','\'(0.3-0.4]\'','\'(1.6-2]\'','\'(3-4.5]\'','\'(-inf-205.2]\'','\'(10-15]\'','\'(2.75296-3.4412]\'',N
'\'(20-30]\'','\'(2.8-3.4]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(74.1-98.8]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(17.5-21]\'','\'(17.4-26.1]\'','\'(0.8-1]\'','\'(423.8-847.6]\'','\'(0.9-inf)\'','\'(2-3]\'','\'(0.5-0.6]\'','\'(0.1-0.2]\'','\'(0.8-1.2]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(20-25]\'','\'(2.06472-2.75296]\'',N
'\'(10-20]\'','\'(1.6-2.2]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(-inf-24.7]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(3.5-7]\'','\'(8.7-17.4]\'','\'(0.6-0.8]\'','\'(-inf-423.8]\'','\'(0.9-inf)\'','\'(2-3]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(-inf-0.4]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(0.68824-1.37648]\'',N
'\'(20-30]\'','\'(4.6-5.2]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(98.8-123.5]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(10.5-14]\'','\'(8.7-17.4]\'','\'(0.8-1]\'','\'(847.6-1271.4]\'','\'(0.9-inf)\'','\'(5-6]\'','\'(0.8-0.9]\'','\'(0.1-0.2]\'','\'(2.8-3.2]\'','\'(12-13.5]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(1.37648-2.06472]\'',Y
'\'(40-50]\'','\'(3.4-4]\'','\'(-inf-5.9]\'','\'(24.3-48.6]\'','\'(74.1-98.8]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(24.5-28]\'','\'(34.8-43.5]\'','\'(0.8-1]\'','\'(847.6-1271.4]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.6-0.7]\'','\'(-inf-0.1]\'','\'(2.8-3.2]\'','\'(3-4.5]\'','\'(-inf-205.2]\'','\'(15-20]\'','\'(1.37648-2.06472]\'',Y
'\'(-inf-10]\'','\'(1.6-2.2]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(-inf-24.7]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(3.5-7]\'','\'(-inf-8.7]\'','\'(1.8-inf)\'','\'(-inf-423.8]\'','\'(-inf-0.1]\'','\'(-inf-1]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(-inf-0.4]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(-inf-0.68824]\'',Y
'\'(-inf-10]\'','\'(2.8-3.4]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(24.7-49.4]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(3.5-7]\'','\'(-inf-8.7]\'','\'(0.6-0.8]\'','\'(-inf-423.8]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.8-0.9]\'','\'(0.4-0.5]\'','\'(1.6-2]\'','\'(1.5-3]\'','\'(-inf-205.2]\'','\'(5-10]\'','\'(1.37648-2.06472]\'',N
'\'(-inf-10]\'','\'(1.6-2.2]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(24.7-49.4]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(3.5-7]\'','\'(-inf-8.7]\'','\'(1.8-inf)\'','\'(-inf-423.8]\'','\'(-inf-0.1]\'','\'(-inf-1]\'','\'(0.8-0.9]\'','\'(0.5-0.6]\'','\'(0.8-1.2]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(5-10]\'','\'(2.75296-3.4412]\'',N
'\'(10-20]\'','\'(3.4-4]\'','\'(-inf-5.9]\'','\'(218.7-inf)\'','\'(24.7-49.4]\'','\'(-inf-457.6]\'','\'(217.8-inf)\'','\'(-inf-3.5]\'','\'(8.7-17.4]\'','\'(0.2-0.4]\'','\'(-inf-423.8]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.6-0.7]\'','\'(0.3-0.4]\'','\'(0.8-1.2]\'','\'(1.5-3]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(-inf-0.68824]\'',N
'\'(-inf-10]\'','\'(2.8-3.4]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(24.7-49.4]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(-inf-3.5]\'','\'(-inf-8.7]\'','\'(0.4-0.6]\'','\'(847.6-1271.4]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.8-0.9]\'','\'(0.5-0.6]\'','\'(0.8-1.2]\'','\'(-inf-1.5]\'','\'(205.2-410.4]\'','\'(-inf-5]\'','\'(0.68824-1.37648]\'',N
'\'(-inf-10]\'','\'(-inf-1.6]\'','\'(17.7-23.6]\'','\'(121.5-145.8]\'','\'(-inf-24.7]\'','\'(-inf-457.6]\'','\'(121-145.2]\'','\'(-inf-3.5]\'','\'(-inf-8.7]\'','\'(0.2-0.4]\'','\'(-inf-423.8]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(-inf-0.1]\'','\'(0.4-0.5]\'','\'(-inf-0.4]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(0.68824-1.37648]\'',Y
'\'(-inf-10]\'','\'(3.4-4]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(-inf-24.7]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(3.5-7]\'','\'(-inf-8.7]\'','\'(1.8-inf)\'','\'(-inf-423.8]\'','\'(-inf-0.1]\'','\'(-inf-1]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(0.8-1.2]\'','\'(1.5-3]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(1.37648-2.06472]\'',N
'\'(10-20]\'','\'(1.6-2.2]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(24.7-49.4]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(17.5-21]\'','\'(17.4-26.1]\'','\'(-inf-0.2]\'','\'(-inf-423.8]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.3-0.4]\'','\'(0.1-0.2]\'','\'(-inf-0.4]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(0.68824-1.37648]\'',N
'\'(10-20]\'','\'(4.6-5.2]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(24.7-49.4]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(3.5-7]\'','\'(-inf-8.7]\'','\'(0.6-0.8]\'','\'(423.8-847.6]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.7-0.8]\'','\'(0.2-0.3]\'','\'(1.6-2]\'','\'(4.5-6]\'','\'(-inf-205.2]\'','\'(5-10]\'','\'(1.37648-2.06472]\'',Y
'\'(-inf-10]\'','\'(-inf-1.6]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(-inf-24.7]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(3.5-7]\'','\'(-inf-8.7]\'','\'(0.2-0.4]\'','\'(-inf-423.8]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(-inf-0.1]\'','\'(0.8-0.9]\'','\'(-inf-0.4]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(2.06472-2.75296]\'',N
'\'(-inf-10]\'','\'(-inf-1.6]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(-inf-24.7]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(-inf-3.5]\'','\'(-inf-8.7]\'','\'(0.6-0.8]\'','\'(-inf-423.8]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(-inf-0.1]\'','\'(0.5-0.6]\'','\'(-inf-0.4]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(0.68824-1.37648]\'',N
'\'(-inf-10]\'','\'(1.6-2.2]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(-inf-24.7]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(-inf-3.5]\'','\'(-inf-8.7]\'','\'(0.8-1]\'','\'(-inf-423.8]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.3-0.4]\'','\'(0.3-0.4]\'','\'(0.8-1.2]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(0.68824-1.37648]\'',N
'\'(-inf-10]\'','\'(2.8-3.4]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(-inf-24.7]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(3.5-7]\'','\'(-inf-8.7]\'','\'(0.6-0.8]\'','\'(-inf-423.8]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.8-0.9]\'','\'(0.4-0.5]\'','\'(-inf-0.4]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(0.68824-1.37648]\'',N
'\'(10-20]\'','\'(3.4-4]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(24.7-49.4]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(7-10.5]\'','\'(8.7-17.4]\'','\'(0.4-0.6]\'','\'(-inf-423.8]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.7-0.8]\'','\'(0.3-0.4]\'','\'(-inf-0.4]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(0.68824-1.37648]\'',N
'\'(-inf-10]\'','\'(-inf-1.6]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(-inf-24.7]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(-inf-3.5]\'','\'(-inf-8.7]\'','\'(-inf-0.2]\'','\'(-inf-423.8]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(-inf-0.1]\'','\'(0.3-0.4]\'','\'(0.8-1.2]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(0.68824-1.37648]\'',N
'\'(-inf-10]\'','\'(-inf-1.6]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(-inf-24.7]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(3.5-7]\'','\'(-inf-8.7]\'','\'(1.8-inf)\'','\'(-inf-423.8]\'','\'(-inf-0.1]\'','\'(-inf-1]\'','\'(-inf-0.1]\'','\'(0.6-0.7]\'','\'(-inf-0.4]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(0.68824-1.37648]\'',N
'\'(-inf-10]\'','\'(-inf-1.6]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(-inf-24.7]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(-inf-3.5]\'','\'(-inf-8.7]\'','\'(1.8-inf)\'','\'(-inf-423.8]\'','\'(-inf-0.1]\'','\'(-inf-1]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.4]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(0.68824-1.37648]\'',N
'\'(-inf-10]\'','\'(1.6-2.2]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(-inf-24.7]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(-inf-3.5]\'','\'(-inf-8.7]\'','\'(0.2-0.4]\'','\'(-inf-423.8]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.7-0.8]\'','\'(0.4-0.5]\'','\'(-inf-0.4]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(0.68824-1.37648]\'',N
'\'(10-20]\'','\'(-inf-1.6]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(-inf-24.7]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(3.5-7]\'','\'(8.7-17.4]\'','\'(0.8-1]\'','\'(-inf-423.8]\'','\'(0.9-inf)\'','\'(2-3]\'','\'(-inf-0.1]\'','\'(0.2-0.3]\'','\'(-inf-0.4]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(0.68824-1.37648]\'',N
'\'(10-20]\'','\'(2.8-3.4]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(24.7-49.4]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(10.5-14]\'','\'(8.7-17.4]\'','\'(0.6-0.8]\'','\'(-inf-423.8]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.7-0.8]\'','\'(0.3-0.4]\'','\'(0.8-1.2]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(20-25]\'','\'(2.75296-3.4412]\'',N
'\'(10-20]\'','\'(-inf-1.6]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(24.7-49.4]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(-inf-3.5]\'','\'(-inf-8.7]\'','\'(0.8-1]\'','\'(-inf-423.8]\'','\'(0.6-0.7]\'','\'(-inf-1]\'','\'(-inf-0.1]\'','\'(0.2-0.3]\'','\'(-inf-0.4]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(2.06472-2.75296]\'',Y
'\'(-inf-10]\'','\'(2.8-3.4]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(-inf-24.7]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(-inf-3.5]\'','\'(-inf-8.7]\'','\'(1.8-inf)\'','\'(-inf-423.8]\'','\'(-inf-0.1]\'','\'(-inf-1]\'','\'(0.9-inf)\'','\'(0.7-0.8]\'','\'(0.8-1.2]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(-inf-0.68824]\'',N
'\'(-inf-10]\'','\'(3.4-4]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(-inf-24.7]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(7-10.5]\'','\'(-inf-8.7]\'','\'(0.6-0.8]\'','\'(-inf-423.8]\'','\'(0.9-inf)\'','\'(1-2]\'','\'(0.8-0.9]\'','\'(0.4-0.5]\'','\'(0.8-1.2]\'','\'(1.5-3]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(1.37648-2.06472]\'',N
'\'(90-inf)\'','\'(-inf-1.6]\'','\'(-inf-5.9]\'','\'(194.4-218.7]\'','\'(222.3-inf)\'','\'(4118.4-inf)\'','\'(169.4-193.6]\'','\'(21-24.5]\'','\'(78.3-inf)\'','\'(0.8-1]\'','\'(1695.2-2119]\'','\'(0.5-0.6]\'','\'(3-4]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(5-10]\'','\'(1.37648-2.06472]\'',Y
'\'(10-20]\'','\'(-inf-1.6]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(24.7-49.4]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(3.5-7]\'','\'(8.7-17.4]\'','\'(0.6-0.8]\'','\'(-inf-423.8]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(-inf-0.1]\'','\'(0.2-0.3]\'','\'(-inf-0.4]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(1.37648-2.06472]\'',Y
'\'(70-80]\'','\'(3.4-4]\'','\'(-inf-5.9]\'','\'(24.3-48.6]\'','\'(98.8-123.5]\'','\'(2288-2745.6]\'','\'(-inf-24.2]\'','\'(17.5-21]\'','\'(60.9-69.6]\'','\'(0.8-1]\'','\'(847.6-1271.4]\'','\'(0.9-inf)\'','\'(5-6]\'','\'(0.5-0.6]\'','\'(0.2-0.3]\'','\'(0.8-1.2]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(5-10]\'','\'(1.37648-2.06472]\'',Y
'\'(-inf-10]\'','\'(2.8-3.4]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(24.7-49.4]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(7-10.5]\'','\'(-inf-8.7]\'','\'(0.6-0.8]\'','\'(-inf-423.8]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.9-inf)\'','\'(0.3-0.4]\'','\'(1.6-2]\'','\'(1.5-3]\'','\'(-inf-205.2]\'','\'(5-10]\'','\'(2.06472-2.75296]\'',Y
'\'(10-20]\'','\'(3.4-4]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(74.1-98.8]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(14-17.5]\'','\'(8.7-17.4]\'','\'(0.8-1]\'','\'(423.8-847.6]\'','\'(0.2-0.3]\'','\'(1-2]\'','\'(0.8-0.9]\'','\'(0.2-0.3]\'','\'(1.6-2]\'','\'(1.5-3]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(0.68824-1.37648]\'',Y
'\'(-inf-10]\'','\'(-inf-1.6]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(-inf-24.7]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(-inf-3.5]\'','\'(-inf-8.7]\'','\'(0.2-0.4]\'','\'(-inf-423.8]\'','\'(-inf-0.1]\'','\'(-inf-1]\'','\'(-inf-0.1]\'','\'(0.7-0.8]\'','\'(-inf-0.4]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(5-10]\'','\'(1.37648-2.06472]\'',N
'\'(20-30]\'','\'(-inf-1.6]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(49.4-74.1]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(10.5-14]\'','\'(8.7-17.4]\'','\'(0.8-1]\'','\'(423.8-847.6]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(-inf-0.1]\'','\'(0.2-0.3]\'','\'(-inf-0.4]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(10-15]\'','\'(1.37648-2.06472]\'',Y
'\'(-inf-10]\'','\'(-inf-1.6]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(-inf-24.7]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(3.5-7]\'','\'(-inf-8.7]\'','\'(0.4-0.6]\'','\'(-inf-423.8]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(-inf-0.1]\'','\'(0.4-0.5]\'','\'(-inf-0.4]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(-inf-0.68824]\'',N
'\'(-inf-10]\'','\'(2.8-3.4]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(-inf-24.7]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(3.5-7]\'','\'(-inf-8.7]\'','\'(0.6-0.8]\'','\'(-inf-423.8]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.8-0.9]\'','\'(0.5-0.6]\'','\'(-inf-0.4]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(0.68824-1.37648]\'',Y
'\'(-inf-10]\'','\'(2.8-3.4]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(-inf-24.7]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(-inf-3.5]\'','\'(-inf-8.7]\'','\'(0.2-0.4]\'','\'(-inf-423.8]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.8-0.9]\'','\'(0.4-0.5]\'','\'(-inf-0.4]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(0.68824-1.37648]\'',N
'\'(-inf-10]\'','\'(4.6-5.2]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(-inf-24.7]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(-inf-3.5]\'','\'(-inf-8.7]\'','\'(1.8-inf)\'','\'(-inf-423.8]\'','\'(-inf-0.1]\'','\'(-inf-1]\'','\'(0.9-inf)\'','\'(0.5-0.6]\'','\'(0.8-1.2]\'','\'(-inf-1.5]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(1.37648-2.06472]\'',N
'\'(-inf-10]\'','\'(1.6-2.2]\'','\'(-inf-5.9]\'','\'(-inf-24.3]\'','\'(-inf-24.7]\'','\'(-inf-457.6]\'','\'(-inf-24.2]\'','\'(-inf-3.5]\'','\'(-inf-8.7]\'','\'(-inf-0.2]\'','\'(-inf-423.8]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.8-0.9]\'','\'(0.4-0.5]\'','\'(0.8-1.2]\'','\'(1.5-3]\'','\'(-inf-205.2]\'','\'(-inf-5]\'','\'(-inf-0.68824]\'',N
